epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.459,3.15283,29.4917,3.32364,0,0,0,0,2.45419,31.1138,2.84008,0.0847,0.0017,0.0017
2,225.789,2.49326,23.6216,2.76195,0,0,0,0,2.40205,31.5423,2.75062,0.0684996,0.00349962,0.00349962
3,340.33,2.4036,21.5232,2.5389,0,0,0,0,2.3553,32.6501,2.76887,0.0522977,0.0052977,0.0052977
4,454.976,2.25434,19.193,2.39875,0.09376,0.04783,0.05182,0.02509,2.27453,31.3744,2.67721,0.0360931,0.00709306,0.00709306
5,615.331,2.18062,18.3585,2.35651,0.11274,0.13968,0.08159,0.03478,2.18372,54.1923,2.58029,0.0198845,0.00888455,0.00888455
6,919.446,2.07835,18.2749,2.2911,0.07257,0.14922,0.04061,0.01456,2.26689,1650.93,3.6972,0.00997288,0.00997288,0.00997288
7,1410.51,2.04081,17.3363,2.22283,0.02045,0.03186,0.00866,0.00378,2.30756,3877.65,4.45826,0.00996097,0.00996097,0.00996097
8,1750.37,1.93906,17.1005,2.1759,0.08167,0.12582,0.04738,0.01487,2.22704,1596.38,3.40051,0.0099469,0.0099469,0.0099469
9,1884.37,1.92832,16.5305,2.08435,0.06106,0.07121,0.04756,0.02047,2.02292,73.7222,2.65334,0.00993068,0.00993068,0.00993068
10,2002.37,1.85973,15.8842,2.12164,0.36762,0.37353,0.24342,0.09706,1.91082,27.8371,2.15542,0.00991232,0.00991232,0.00991232
11,2125.76,1.83578,15.9153,2.08545,0.13837,0.27415,0.14111,0.06478,1.96861,37.7463,2.26429,0.00989183,0.00989183,0.00989183
12,2234.41,1.82106,15.2222,2.1302,0.09225,0.11609,0.06666,0.0302,2.00098,33.4091,2.30204,0.00986922,0.00986922,0.00986922
13,2342.64,1.80424,14.4749,2.03771,0.46252,0.49569,0.42556,0.20072,1.73786,15.7925,2.02162,0.00984449,0.00984449,0.00984449
14,2452.43,1.81897,14.7774,2.02888,0.40918,0.50703,0.41619,0.1978,1.78555,17.1945,2.13389,0.00981765,0.00981765,0.00981765
15,2559.88,1.76812,14.3565,1.98248,0.35452,0.52871,0.469,0.21804,1.6909,14.7489,2.04165,0.00978873,0.00978873,0.00978873
16,2670.13,1.75758,13.716,2.01995,0.42258,0.49767,0.42659,0.20789,1.64196,16.1802,1.98571,0.00975773,0.00975773,0.00975773
17,2775.91,1.73127,13.5495,1.99946,0.47493,0.50203,0.46276,0.2248,1.74027,17.0519,1.99005,0.00972466,0.00972466,0.00972466
18,2878.75,1.73243,13.5056,1.99834,0.45159,0.52523,0.43811,0.23852,1.63732,17.6916,1.95858,0.00968955,0.00968955,0.00968955
19,2982.67,1.65385,12.9664,1.99469,0.43883,0.48792,0.49849,0.27133,1.69793,16.9338,2.01543,0.00965239,0.00965239,0.00965239
20,3096.22,1.67855,13.07,2.01865,0.30844,0.38041,0.2666,0.13262,1.82826,24.7892,2.11882,0.00961322,0.00961322,0.00961322
21,3199.73,1.70248,12.7494,1.98557,0.38985,0.45238,0.3656,0.15175,2.11727,17.2386,2.39896,0.00957205,0.00957205,0.00957205
22,3304.3,1.63727,11.976,1.93919,0.55979,0.6347,0.60476,0.35951,1.48079,12.7556,1.84187,0.00952889,0.00952889,0.00952889
23,3408.83,1.65696,11.8839,1.91722,0.52068,0.53299,0.50788,0.25875,1.66268,16.1141,1.96898,0.00948377,0.00948377,0.00948377
24,3515.49,1.69681,12.6171,2.05508,0.51584,0.60934,0.60986,0.32698,1.59919,13.3749,1.98502,0.00943671,0.00943671,0.00943671
25,3622.84,1.64622,11.8762,1.94061,0.48382,0.6992,0.60952,0.33134,1.51073,11.9796,1.90966,0.00938772,0.00938772,0.00938772
26,3726.44,1.57809,11.2764,1.92982,0.64137,0.58301,0.63847,0.34161,1.51978,14.3006,1.8775,0.00933683,0.00933683,0.00933683
27,3830.28,1.62544,11.5001,1.98319,0.63648,0.65716,0.67942,0.38862,1.58677,11.5909,1.99181,0.00928405,0.00928405,0.00928405
28,3941.12,1.57907,10.8774,1.9671,0.73121,0.67978,0.7566,0.42116,1.4793,11.1027,1.89391,0.00922942,0.00922942,0.00922942
29,4053.64,1.58916,11.2032,1.94845,0.68437,0.73003,0.76556,0.43471,1.5458,11.0082,1.96815,0.00917296,0.00917296,0.00917296
30,4165.6,1.52023,10.5133,1.88595,0.67691,0.68506,0.75791,0.43641,1.43379,10.6199,1.89376,0.00911469,0.00911469,0.00911469
31,4268.71,1.52802,10.1706,1.92374,0.65469,0.75083,0.80371,0.43821,1.42663,10.0544,1.91746,0.00905463,0.00905463,0.00905463
32,4372.21,1.52328,10.3973,1.91706,0.65144,0.65532,0.71912,0.40825,1.55093,12.6486,1.94832,0.00899282,0.00899282,0.00899282
33,4475.78,1.50459,10.067,1.94063,0.73577,0.68604,0.77676,0.4485,1.48639,10.7153,1.87818,0.00892928,0.00892928,0.00892928
34,4580.04,1.54328,10.3852,1.92992,0.51541,0.61795,0.60267,0.32649,1.58482,15.0252,1.92922,0.00886404,0.00886404,0.00886404
35,4682.38,1.55932,10.414,1.95599,0.67051,0.6002,0.68413,0.39989,1.38963,11.1565,1.86571,0.00879713,0.00879713,0.00879713
36,4786.38,1.48991,9.82425,1.91229,0.65557,0.60908,0.662,0.36179,1.46738,12.6923,1.89595,0.00872857,0.00872857,0.00872857
37,4886.98,1.49694,9.59794,1.87674,0.78927,0.73139,0.81605,0.47336,1.3864,9.96084,1.85312,0.00865839,0.00865839,0.00865839
