epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.2689,4.65025,31.6771,3.44298,0,0,0,0,3.65958,29.7684,2.67785,0.0928,0.0008,0.0008
2,94.9057,2.84344,24.9277,2.49994,0,0,0,0,2.77184,29.8727,2.33884,0.0846998,0.00169982,0.00169982
3,137.357,2.65975,22.0208,2.32632,0,0,0,0,2.67783,31.3386,2.384,0.0765989,0.00259887,0.00259887
4,180.629,2.41319,20.2218,2.16221,0,0,0,0,2.67376,34.8,2.44351,0.0684966,0.00349658,0.00349658
5,227.156,2.3197,18.6324,2.01156,0,0,0,0,2.70497,37.0184,2.55371,0.0603924,0.00439236,0.00439236
6,271.015,2.18766,16.8655,1.95859,0,0,0,0,2.88345,36.9918,2.59182,0.0522856,0.00528563,0.00528563
7,315.366,2.09691,16.4668,1.83928,0.02778,0.01111,0.01486,0.00548,3.09488,35.2895,2.58466,0.0441758,0.0061758,0.0061758
8,357.283,2.05954,15.5624,1.79957,0.16719,0.33219,0.16884,0.06785,2.53314,35.8535,2.07422,0.0360623,0.0070623,0.0070623
9,398.509,2.06361,15.112,1.79062,0.11336,0.10154,0.06502,0.02988,2.5309,33.8788,2.10303,0.0279445,0.00794454,0.00794454
10,438.34,1.85792,14.1923,1.72895,0.20317,0.18507,0.14305,0.06746,2.28059,32.2099,2.02798,0.019822,0.00882197,0.00882197
11,478.242,1.9843,14.9829,1.76793,0.23046,0.2983,0.18059,0.08808,2.11757,30.8189,1.90396,0.011694,0.00969399,0.00969399
12,518.771,1.90193,14.1054,1.76889,0.26679,0.156,0.18223,0.0759,2.11483,32.2418,1.93507,0.00986922,0.00986922,0.00986922
13,559.905,1.83531,13.1883,1.67385,0.52161,0.15943,0.16237,0.07613,1.99417,26.8183,1.86151,0.00984449,0.00984449,0.00984449
14,602.046,1.84614,13.1342,1.6849,0.44744,0.39464,0.34237,0.14278,2.07879,17.0142,1.95418,0.00981765,0.00981765,0.00981765
15,643.5,1.84441,12.8241,1.69941,0.46153,0.56129,0.49948,0.23263,1.79106,14.6492,1.72931,0.00978873,0.00978873,0.00978873
